aid,attribute
1,""
2,*
3,Afghanistan
4,Albania
5,Algeria
6,Angola
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaijan
12,BELARUS
13,Bahamas
14,Bahrain
15,Bangladesh
16,Barbados
17,Belgium
18,Belize
19,Benin
20,Bermuda
21,Bolivia
22,Bonaire
23,Bosnia & Herceg
24,Botswana
25,Brazil
26,British Virgin Isl
27,Brunei
28,Bulgaria
29,Burkina Faso
30,Burundi
31,Byelarus
32,Cambodia
33,Cameroon
34,Canada
35,Cape Verde
36,Caribbean
37,Cayman Islands
38,Cent Afr Republ
39,Chad
40,Chile
41,Colombia
42,Costa Rica
43,Cote Ivoire
44,Croatia
45,Cuba
46,Cyprus
47,Czech Republic
48,DEM REP CONGO
49,Denmark
50,Dominica
51,Dominican Rep
52,Ecuador
53,Egypt
54,El Salvador
55,England
56,Estonia
57,Ethiopia
58,Fiji
59,Finland
60,Fr Polynesia
61,France
62,French Guiana
63,Gabon
64,Gambia
65,Georgia
66,Germany
67,Germany;
68,Ghana
69,Greece
70,Grenada
71,Guadeloupe
72,Guatemala
73,Guinea
74,Guyana
75,Haiti
76,Honduras
77,Hungary
78,Iceland
79,India
80,Indonesia
81,Iran
82,Iraq
83,Ireland
84,Israel
85,Italy
86,Jamaica
87,Japan
88,Jordan
89,Kazakhstan
90,Kenya
91,Kosova
92,Kosovo
93,Kuwait
94,Kyrgyzstan
95,Laos
96,Latvia
97,Lebanon
98,Liberia
99,Libya
100,Liechtenstein
101,Lithuania
102,Luxembourg
103,Macedonia
104,Madagascar
105,Malawi
106,Malaysia
107,Mali
108,Malta
109,Marshall Island
110,Mauritania
111,Mauritius
112,Mexico
113,Micronesia
114,Moldova
115,Monaco
116,Mongol Peo Rep
117,Morocco
118,Mozambique
119,Myanmar
120,Namibia
121,Nepal
122,Neth Antilles
123,Netherlands
124,New Caledonia
125,New Zealand
126,Nicaragua
127,Niger
128,Nigeria
129,North Ireland
130,Norway
131,Oman
132,Pakistan
133,Palestine
134,Panama
135,Papua N Guinea
136,Paraguay
137,Peoples R China
138,Peru
139,Philippines
140,Poland
141,Portugal
142,Puerto Rico
143,Qatar
144,Rep Congo
145,Rep of Georgia
146,Romania
147,Russia
148,Rwanda
149,Samoa
150,Saudi Arabia
151,Scotland
152,Senegal
153,Serbia
154,Seychelles
155,Sierra Leone
156,Singapore
157,Slovakia
158,Slovenia
159,South Africa
160,South Korea
161,Spain
162,Sri Lanka
163,St Kitts & Nevi
164,Sudan
165,Surinam
166,Swaziland
167,Sweden
168,Switzerland
169,Syria
170,Taiwan
171,Tanzania
172,Thailand
173,Togo
174,Tonga
175,Trinid & Tobago
176,Tunisia
177,Turkey
178,Turks & Caicos
179,U Arab Emirates
180,U.K
181,USA
182,Uganda
183,Ukraine
184,Uruguay
185,Uzbekistan
186,Vatican
187,Venezuela
188,Vietnam
189,W Ind Assoc St
190,Wales
191,Yemen
192,Zaire
193,Zambia
194,Zimbabwe
195,attribute
